"filename", "language", "Swift", "JSON", "Ruby", "XML", "C++", "CMake", "YAML", "Markdown", "Properties", "Dart", "HTML", "comment", "blank", "total"
"/Users/samharvey/development/flutter_apps/aquabalance/lib/logic/services/data_persist_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 389, 0, 71, 91, 551
"/Users/samharvey/development/flutter_apps/aquabalance/lib/logic/services/postcode_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 0, 5, 6, 212
"/Users/samharvey/development/flutter_apps/aquabalance/lib/logic/tank_volume_calculator.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 6, 4, 24
"/Users/samharvey/development/flutter_apps/aquabalance/lib/main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 5, 42
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/home_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 13, 5, 156
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/location_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 266, 0, 26, 28, 320
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/optimisation_tips_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 23, 21, 222
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/output_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 721, 0, 34, 31, 786
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/roof_catchment_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 457, 0, 41, 37, 535
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/tank_inventory_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 974, 0, 104, 67, 1145
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/usage_comparison_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 931, 0, 70, 59, 1060
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/water_usage_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 546, 0, 55, 56, 657
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/widgets/constrained_width_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 4, 3, 20
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/widgets/input_field_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 1, 7, 53
"/Users/samharvey/development/flutter_apps/aquabalance/linux/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 25, 129
"/Users/samharvey/development/flutter_apps/aquabalance/linux/flutter/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 10, 89
"/Users/samharvey/development/flutter_apps/aquabalance/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/samharvey/development/flutter_apps/aquabalance/linux/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/samharvey/development/flutter_apps/aquabalance/linux/flutter/generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/samharvey/development/flutter_apps/aquabalance/linux/runner/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/samharvey/development/flutter_apps/aquabalance/linux/runner/main.cc", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/samharvey/development/flutter_apps/aquabalance/linux/runner/my_application.cc", "C++", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 21, 27, 131
"/Users/samharvey/development/flutter_apps/aquabalance/linux/runner/my_application.h", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/samharvey/development/flutter_apps/aquabalance/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 21
"/Users/samharvey/development/flutter_apps/aquabalance/macos/Podfile", "Ruby", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 43
"/Users/samharvey/development/flutter_apps/aquabalance/macos/Runner/AppDelegate.swift", "Swift", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/samharvey/development/flutter_apps/aquabalance/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68
"/Users/samharvey/development/flutter_apps/aquabalance/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"/Users/samharvey/development/flutter_apps/aquabalance/macos/Runner/MainFlutterWindow.swift", "Swift", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/samharvey/development/flutter_apps/aquabalance/macos/RunnerTests/RunnerTests.swift", "Swift", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"/Users/samharvey/development/flutter_apps/aquabalance/pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 58, 13, 123
"/Users/samharvey/development/flutter_apps/aquabalance/test/postcode_service_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 326, 0, 46, 64, 436
"/Users/samharvey/development/flutter_apps/aquabalance/test/results_calculator_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 535, 0, 64, 79, 678
"/Users/samharvey/development/flutter_apps/aquabalance/test/tank_volume_calculator_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 23, 25, 205
"/Users/samharvey/development/flutter_apps/aquabalance/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 15, 17, 122
"/Users/samharvey/development/flutter_apps/aquabalance/web/manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"/Users/samharvey/development/flutter_apps/aquabalance/windows/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 20, 109
"/Users/samharvey/development/flutter_apps/aquabalance/windows/flutter/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 12, 110
"/Users/samharvey/development/flutter_apps/aquabalance/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 5, 18
"/Users/samharvey/development/flutter_apps/aquabalance/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/samharvey/development/flutter_apps/aquabalance/windows/flutter/generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/samharvey/development/flutter_apps/aquabalance/windows/runner/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 7, 41
"/Users/samharvey/development/flutter_apps/aquabalance/windows/runner/flutter_window.cpp", "C++", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 7, 16, 72
"/Users/samharvey/development/flutter_apps/aquabalance/windows/runner/flutter_window.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/samharvey/development/flutter_apps/aquabalance/windows/runner/main.cpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/samharvey/development/flutter_apps/aquabalance/windows/runner/resource.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/samharvey/development/flutter_apps/aquabalance/windows/runner/utils.cpp", "C++", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 2, 10, 66
"/Users/samharvey/development/flutter_apps/aquabalance/windows/runner/utils.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/samharvey/development/flutter_apps/aquabalance/windows/runner/win32_window.cpp", "C++", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/Users/samharvey/development/flutter_apps/aquabalance/windows/runner/win32_window.h", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 63, 178, 63, 519, 546, 463, 55, 9, 8, 7064, 90, 1032, 1151, 11241
